Soru,Cevap
Sınıf başkanı nasıl seçilir?,"Sınıflarda yapılan oylama ile seçilir, "
Öğrencinin okula devam zorunluluğu kaç gün?,"Devamsızlık süresi özürsüz (raporsuz) olarak 10 gün, özürlü (raporlu) olarak 20 gün olmak üzere toplamda 30 gündür."
Öğrenciler sınıf değiştirebilir mi?,Zorunlu durumlar haricinde yapılmamaktadır.
Okul bahçesinde top oynamak serbest mi?,Okul bahçesinde sınav zamanları haricinde top oynamak serbesttir.
Okulda fotoğraf çekmek yasak mı?,Ders saatleri içerisinde telefon kullanmak ve bulundurmak yasaktır.
Etkinlik günü okul kıyafeti zorunlu mu?,Okul kıyafeti aksi belirtilmediği sürece okulda giyilmesi zorunludur.
Geziler için izin belgesi nereden alınır?,Gezi öncesi sınıflarda dağıtımı gerçekleşmektedir.
Spor kulübü dışındaki kulüplere katılmak zorunlu mu?,Her öğenci zorunlu olarak bir adet kulüp seçimi yapmaktadır.
Müzik odasını kullanmak için izin gerekiyor mu?,Müzik odası açık oldupu ve ders işlenmediğ sürece kullanılabilmektedir.
Bilgisayar odası hangi saatlerde açık?,Bilgidayar odası ders saatlerinde açık olup kullanılabilmektedir.
Öğrenciler okul içinde telefonla konuşabilir mi?,Ders saatleri içerisinde telefon kullanmak ve bulundurmak yasaktır.
Öğrenci kulüp değişikliği yapabilir mi?,Evet sınıf öğretmenine bildirerek değişiklik talep edebilir.
Öğrenciler istedikleri dersi seçebilir mi?,Okulumuzda öğrenciler müzik ve resim dersi arasında seçim yapmaktadırlar.
Kardeş kontenjanı kayıt sırasında geçerli mi?,Kardeş kontanjanı sistemi bizde geçerli değildir.
Kayıtlı olduğum sınıfı nereden öğrenirim?,kayıt olmaya geldiğiniz gün öğrenebilirsiniz.
Okul servisinde yer kalmazsa ne yapılır?,Yeterli sayıda öğrenci talebi olursa yeni bir servis daha açılabilir. Aksi halde toplu taşıma veya özel araç ile ulaşım sağlanması gerekmektedir.
Yıl içinde öğretmen değişikliği olursa bilgi verilir mi?,Evet öğretmen kadrosunda yapılan değişiklikler hakkında bilgi verilmektedir.
"Okul aidatı var mı, varsa ne kadar?","Okul aidatı yoktur, ilk kez kayıt olan 9.sınıf öğrencilerimiz kayıt giderleri ve kıyafet için belirli bir miktarda ödeme yapmaktadırlar."
Öğrenciler okul dışında forma giymek zorunda mı?,Öğrenciler okul dışında forma giymek zorunda değildir.
Kütüphanede grup çalışması yapılabilir mi?,Gerekli izinler alındığında yapılabilmektedir.
Öğrenciler için bireysel rehberlik görüşmesi nasıl yapılır?,Rehber öğretmenlerden randevu alabilirsiniz.
Kaybolan eşyalar ne kadar süre saklanır?,Yaklaşık bir ay boyunca kayıp dolabında saklanır.
Okul dışı başarılar için belge veriliyor mu?,Hayır okul dışı başarılar için belge verilmiyor.
Öğrenci proje yarışmalarına nasıl başvurur?,Öğrenciler panolardan ve öğretmenlerin duyurularından yarışma süreçlerine dahil olabilirler.
Öğrenciler okulun sosyal medya hesabında yer alabilir mi?,Okula kayıt yaparken paylaşım için izin veren öğrencilerin paylaşımlarda yer alabilmektedir.
Öğrenci sayısı kaçtır?,750 öğrencidir.
Okul bahçesi hafta sonu açık mı?,Okul açık olduğu sürece bahçe kullanımı mümkündür.
Öğrenci başka okuldan transfer olursa ne zaman başlar?,Transfer süreci tamamlandıktan sonra ki gün öğrenci okula başlayabilir.
Mezun öğrencilere tören düzenlenir mi?,hayır düzenlenmemektedir. bunun yerine mezunlar pilav günümüz vardır.
Öğrencinin özel ihtiyaçları için okulda destek var mı?,"Evet destek sağlanmaktadır, pdr birimi üzerinden başvuru yapılıp süreç takibi sağlanabilir."
Öğrenci başka şehirden nakil gelirse ne yapmalı?,Standart nakil prosedürü uygulanır.
Öğrencinin kayıt yaşı tutmazsa istisna yapılır mı?,"İstisna yapılamaz, sistem izin vermez."
Öğrenci yurt dışına taşınırsa nasıl belge alır?,Online - E devlet üzerinden alabilir.
Öğrencinin velisi yurt dışındaysa kim kayıt yaptırabilir?,Vekalet verdiği aile üyeleri kayıt yaptırabilir.
Öğrenci okul içinde çalıştırılabilir mi (temizlik vs.)?,Hayır öğrenciler ders için okulda bulunmaktadırlar.
Okulda Robotik kulubü var mıdır?,Okulda aktif çalışan bir robotik takımı vardır.
Emoner Robotics hakkında bilgi verir misin?,Emoner Robotics takımı okulumuzun farklı kulvarlarda aktif olan yarışan robotik takımıdır.
Okula toplu taşıma ile nasıl gelinir?,"Öğrenciler metro, İETT, metrobüs gibi çeşitli toplu taşıma araçlarıyla rahatlıkla gelebilirler. Güzergah detayları web sitemizde mevcuttur."
Servis güzergahları hakkında bilgi veriri misin?,Esenler - Bağcılar ve Bahçelievlere servisimiz vardır.
